Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0115ZZA,2013.03,409,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2014.03,455,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2015.03,438,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2016.03,430,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2017.03,484,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2018.03,520,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2019.03,541,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2020.03,559,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2021.03,537,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZA,2022.03,0,PROVISIONAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,"GST on Production, Import Duties and Other Taxes",,
RNAA.SG01NAC34B0115ZZB,2000.03,2532,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2001.03,2948,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2002.03,3182,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2003.03,3102,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2004.03,3223,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
RNAA.SG01NAC34B0115ZZB,2005.03,3202,FINAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,Southland,Gross Domestic Product,,
